dso_name,site_count,sites_list
Wiener Netze GmbH,27,"150328A, 150290D, 150449A, 130123A, 130030B, 140059A, 120120A, 120075B, 120100A, 150502A, 140013A, 150279B, 150261A, 220060C, 130007E, 240601A, 130076A, 140025A, 240078A, 240128A, 120206A, 150396A, 240143A, 150002A, 260120A, 150099A, 220039B"
Netz Niederösterreich GmbH,15,"220060C, 240601A, 200024C, 240572A, 220164B, 200021D, 200036C, 240292A, 200003B, 260120A, 260022A, 240001A, 240571A, 380008A, 380085A"
TINETZ-Tiroler Netze GmbH,14,"840102A, 840268B, 840104A, 840051B, 800167B, 840255A, 840287A, 870153A, 840411B, 840323A, 840140A, 840403A, 840263A, 800163A"
Energienetze Steiermark GmbH,11,"400116A, 440061A, 400069B, 400144A, 440066A, 440182A, 400085A, 360103A, 400143C, 440229A, 440309A"
Stromnetz Graz GmbH,10,"400116A, 440061A, 400069B, 400144A, 440066A, 400085A, 360103A, 400143C, 440229A, 440309A"
Salzburg Netz GmbH,10,"740052A, 700059A, 740041A, 740042A, 740053A, 740061A, 700027A, 700047A, 740012A, 700034A"
KNG-Kärnten Netz GmbH,7,"600050A, 640013B, 640104A, 660004A, 670140A, 660058A, 640129A"
Vorarlberger Energienetze GmbH,7,"900005B, 900006B, 900036A, 940129A, 900004A, 900011C, 960091A"
Netz Oberösterreich GmbH,6,"520065A, 520034A, 540182B, 500097A, 540305A, 380085A"
E-Werk Gösting Stromversorgungs GmbH,5,"400116A, 440061A, 400069B, 360103A, 440309A"
Innsbrucker Kommunalbetriebe AG,4,"840474A, 840228A, 800007A, 840031A"
Energie Klagenfurt GmbH,3,"600050A, 640013B, 670140A"
Stadtwerke Kufstein GmbH,2,"840244A, 840140A"
HALLAG Kommunal GmbH,2,"800167B, 840417A"
LINZ NETZ GmbH,2,"540182B, 500097A"
no DSO found,1,240010A
Stadtwerke Wörgl GmbH,1,840287A
Elektrizitätswerke Eisenhuber GmbH & Co KG,1,220164B
K.u.F. Drack GmbH & Co KG,1,540305A
Kraftwerk Haim KG,1,800163A
